9036	 6	 1.3686624e9
9036	 10	 1.3678848e9
5573	 11	 1.4594688e9
781	 1	 1.3277952e9
781	 15	 1.2890016e9
781	 11	 1.3515552e9
781	 11	 1.3869792e9
781	 11	 1.4301792e9
6849	 16	 1.4677632e9
5573	 11	 1.4836608e9
2170	 15	 1.4530752e9
21	 11	 1.2896064e9
8950	 5	 1.356048e9
5200	 15	 1.3645152e9
3278	 11	 1.3933728e9
3278	 11	 1.3967424e9
7099	 11	 1.3175136e9
781	 11	 1.38456e9
3678	 10	 1.42344e9
4098	 11	 1.432512e9
117	 5	 1.2693024e9
2895	 11	 1.4949792e9
6484	 4	 1.445472e9
9393	 15	 1.4244768e9
2972	 11	 1.4924736e9
2972	 11	 1.4924736e9
1171	 14	 1.5075072e9
3528	 5	 1.2949632e9
9986	 12	 1.3412736e9
9986	 5	 1.2675744e9
7752	 11	 1.255392e9
7752	 5	 1.2414816e9
7752	 11	 1.3109472e9
361	 11	 1.34136e9
5605	 6	 1.2839904e9
5605	 11	 1.2956544e9
5605	 11	 1.2407904e9
5605	 11	 1.335744e9
5605	 11	 1.3342752e9
8067	 16	 1.3341888e9
8067	 6	 1.3399776e9
8067	 7	 1.3394592e9
9564	 11	 1.3187232e9
9564	 11	 1.3329792e9
6191	 11	 1.4762304e9
3278	 11	 1.3987296e9
3278	 14	 1.394496e9
6749	 6	 1.3722912e9
235	 11	 1.4959296e9
3131	 11	 1.4434848e9
7511	 4	 1.4177376e9
5285	 11	 1.4645664e9
4032	 16	 1.3220064e9
5337	 1	 1.245888e9
5337	 5	 1.23984e9
7782	 11	 1.4992128e9
480	 1	 1.3677984e9
4443	 11	 1.3290912e9
7795	 5	 1.453248e9
4521	 12	 1.4948064e9
8156	 11	 1.208304e9
3673	 7	 1.4906592e9
528	 11	 1.4600736e9
3899	 11	 1.4131584e9
3777	 11	 1.4897952e9
592	 11	 1.3639968e9
430	 5	 1.3779936e9
1608	 15	 1.2215232e9
1608	 10	 1.213488e9
1688	 11	 1.4762304e9
2954	 11	 1.3369536e9
8164	 11	 1.4840928e9
8058	 6	 1.3900896e9
